2015,10,29,14,60,2,73,5
2003,12,16,9,60,6,49,4
2014,7,1,1,1,1,2,2
2005,4,22,6,14,1,26,2
2012,8,24,8,86,1,90,1
2011,11,30,9,66,3,71,3
2000,9,21,9,15,11,39,8
2011,10,4,18,29,1,73,5
2006,12,6,10,79,5,64,4
2005,5,17,11,73,3,74,4
2012,12,2,7,25,1,50,1
2006,7,5,10,64,24,58,7
2016,9,11,13,77,5,70,2
2008,11,8,13,58,1,80,8
2004,2,29,14,65,4,70,0
2012,11,1,9,80,6,76,1
2005,6,4,21,76,14,78,8
2002,5,30,17,55,16,29,0
2001,2,25,17,27,21,45,40
2013,5,15,22,51,5,9,4
2015,12,13,13,71,2,59,2
2017,2,12,0,2,2,5,3
2003,7,6,12,52,5,59,3
2009,8,18,15,51,19,16,3
2009,1,9,21,89,5,54,8
2011,12,14,12,65,2,66,2
2003,3,6,16,50,17,63,15
2000,9,24,10,63,2,38,1
2009,1,4,14,64,32,53,31
2009,10,24,12,64,2,61,3
2017,11,29,17,50,3,37,1
2009,3,10,20,81,6,70,5
2004,1,14,21,35,7,25,4
2012,10,30,9,70,3,58,0
2010,9,9,11,54,4,54,3
2015,10,23,8,84,5,90,2
2009,10,14,19,40,26,21,15
2018,7,9,13,76,7,70,8
2011,2,5,15,59,7,60,7
2000,11,17,16,44,26,51,13
2003,10,14,21,53,42,26,21
2014,5,7,5,5,0,3,0
2016,7,18,16,76,8,70,7
2017,3,3,14,55,5,75,8
2004,2,16,8,93,14,56,3
2011,11,1,16,93,9,65,3
2016,4,18,11,51,4,57,5
2005,10,31,22,40,4,23,2
2006,7,27,11,64,6,60,3
2017,4,6,14,35,30,19,11
2008,6,4,22,33,19,15,4
2003,1,29,16,48,15,59,30
2012,2,23,11,47,6,63,2
2000,5,24,14,17,6,48,1
2011,8,21,10,84,8,46,4
2017,4,3,21,70,57,48,36
2011,6,21,16,74,11,59,15
2009,12,11,6,6,0,20,1
2014,1,3,21,69,35,59,38
2015,12,7,9,90,4,81,3
2009,11,3,15,59,4,77,4
2015,7,7,16,72,4,61,6
2011,5,27,5,2,0,3,1
2015,11,17,22,51,9,27,15
2011,3,30,7,39,1,47,0
2010,11,5,7,37,0,66,2
2001,8,15,8,63,21,34,1
2012,1,6,20,70,14,69,7
2006,7,28,10,67,13,64,7
2000,4,24,7,23,2,38,1
2007,3,22,15,72,25,70,22
2007,8,29,17,50,35,16,2
2011,3,28,14,51,15,51,11
2005,4,25,7,67,4,64,2
2011,4,7,19,83,11,73,16
2003,6,26,14,62,11,57,4
2018,7,26,15,80,9,66,7
2018,7,21,14,50,31,73,39
2016,7,12,22,71,10,30,14
2014,6,17,18,42,11,59,14
2004,1,9,6,18,2,10,1
2016,3,6,6,9,0,20,2
2004,5,10,5,2,0,11,0
2015,2,1,7,8,0,23,2
2017,6,3,23,2,1,6,1
2018,2,9,16,66,9,60,8
2002,11,10,15,28,4,41,4
2009,1,17,11,59,10,43,4
2015,8,1,21,68,16,24,10
2017,12,23,12,50,13,30,6
2010,5,16,6,5,0,18,1
2015,12,9,15,76,3,70,1
2015,8,2,12,63,11,63,1
2014,9,8,12,65,7,49,5
2014,11,19,7,25,1,42,2
2005,2,23,19,65,10,59,5
2018,8,20,6,20,0,20,1
2013,6,4,18,42,10,87,9
2006,7,22,20,41,27,50,21
2011,3,25,13,73,5,72,7
2010,9,21,20,74,11,74,9
2010,11,16,18,41,11,72,15
2010,9,3,9,85,4,88,6
2017,12,14,18,33,5,72,9
2008,7,21,19,32,13,65,15
2015,12,19,15,53,3,69,13
2007,5,4,0,2,2,2,1
2018,12,5,12,58,2,63,3
2000,7,22,14,21,4,49,3
2002,8,17,19,28,18,40,3
2010,6,11,12,66,3,76,6
2016,5,8,22,64,7,21,3
2005,1,24,1,1,1,2,2
2014,1,31,5,2,0,6,0
2003,6,7,18,50,13,38,10
2003,8,5,18,26,5,39,9
2015,3,31,16,76,5,61,6
2002,8,12,12,38,5,25,3
2002,10,11,21,32,21,45,28
2011,9,20,12,68,4,65,3
2009,4,17,10,60,11,60,1
2016,4,16,5,3,0,3,0
2018,6,12,5,8,3,6,1
2004,4,21,20,63,2,85,8
2009,4,1,16,61,26,53,8
2003,1,27,18,54,11,59,4
2013,9,1,22,36,7,18,10
2002,5,3,14,38,30,38,29
2012,8,31,6,11,0,19,1
2018,10,5,6,20,0,22,1
2017,11,23,19,8,2,14,0
2016,10,11,20,43,2,78,10
2005,6,25,17,70,8,51,3
2000,7,8,7,20,2,41,2
2009,3,24,23,3,3,6,1
2003,8,21,13,57,17,67,10
2013,6,27,16,69,32,52,4
2015,7,30,7,35,3,70,1
2000,11,19,18,42,28,48,12
2000,3,30,17,53,2,25,3
2009,9,1,21,82,8,41,3
2010,1,15,23,2,2,5,2
2000,8,15,23,34,2,7,2
2017,2,25,22,50,2,8,5
2001,10,22,22,25,4,39,1
2003,11,9,23,14,3,7,1
2012,12,20,22,57,16,16,11
2009,4,12,9,83,5,55,2
2005,5,22,19,72,6,71,8
2018,8,10,5,8,0,6,1
2017,12,28,13,56,5,50,8
2013,1,4,13,72,4,75,8
2000,6,3,7,22,0,32,4
2017,3,31,22,63,15,24,9
2008,10,28,15,64,13,67,4
2015,2,3,5,2,0,2,0
2017,5,4,21,45,19,23,7
2009,8,15,8,84,7,80,3
2004,2,18,10,51,9,64,1
2011,8,24,9,70,3,86,4
2012,11,28,21,46,3,47,2
2012,8,29,15,64,2,69,6
2012,3,19,11,46,4,70,8
2013,4,5,7,33,2,46,1
2002,11,17,14,44,11,37,7
2018,9,25,8,82,4,70,1
2013,7,24,8,85,2,87,3
2007,3,25,14,72,11,78,12
2015,2,5,19,79,6,87,9
2001,6,16,11,46,16,43,7
2006,11,19,8,70,4,83,4
2001,1,20,17,56,6,22,5
2018,5,10,20,17,12,23,7
2001,1,3,7,15,3,36,4
